record_id,site_id,material_category,week,opening_stock,closing_stock,stockout_flag,days_below_threshold,emergency_replenishment_flag
INV-SITE_01-DIE-20260323,SITE_01,Diesel,2026-03-23,28.29,5.1,0,7,0
INV-SITE_01-DIE-20260330,SITE_01,Diesel,2026-03-30,15.0,0.0,1,7,1
INV-SITE_01-GRI-20251103,SITE_01,Grinding Media,2025-11-03,152.0,141.19,0,0,0
INV-SITE_01-GRI-20251110,SITE_01,Grinding Media,2025-11-10,141.19,77.72,0,0,0
INV-SITE_01-GRI-20251117,SITE_01,Grinding Media,2025-11-17,77.72,45.54,0,3,1
INV-SITE_01-GRI-20251124,SITE_01,Grinding Media,2025-11-24,70.78,46.28,0,3,1
INV-SITE_01-GRI-20251201,SITE_01,Grinding Media,2025-12-01,65.92,63.03,0,0,0
INV-SITE_01-GRI-20251208,SITE_01,Grinding Media,2025-12-08,63.03,36.81,0,5,0
INV-SITE_01-GRI-20251215,SITE_01,Grinding Media,2025-12-15,36.81,0.0,1,7,1
INV-SITE_01-GRI-20251222,SITE_01,Grinding Media,2025-12-22,34.01,3.53,0,7,1
INV-SITE_01-GRI-20251229,SITE_01,Grinding Media,2025-12-29,33.84,17.42,0,7,1
INV-SITE_01-GRI-20260105,SITE_01,Grinding Media,2026-01-05,48.43,0.0,1,7,1
INV-SITE_01-GRI-20260112,SITE_01,Grinding Media,2026-01-12,15.0,0.0,1,7,1
INV-SITE_01-GRI-20260119,SITE_01,Grinding Media,2026-01-19,21.2,0.0,1,7,1
INV-SITE_01-GRI-20260126,SITE_01,Grinding Media,2026-01-26,29.88,0.0,1,7,1
INV-SITE_01-GRI-20260202,SITE_01,Grinding Media,2026-02-02,34.46,0.0,1,7,1
INV-SITE_01-GRI-20260209,SITE_01,Grinding Media,2026-02-09,32.89,32.05,0,6,0
INV-SITE_01-GRI-20260216,SITE_01,Grinding Media,2026-02-16,32.05,2.79,1,7,1
INV-SITE_01-GRI-20260223,SITE_01,Grinding Media,2026-02-23,26.93,12.22,0,7,1
INV-SITE_01-GRI-20260302,SITE_01,Grinding Media,2026-03-02,24.68,3.04,0,7,1
INV-SITE_01-GRI-20260309,SITE_01,Grinding Media,2026-03-09,36.75,18.63,0,7,1
INV-SITE_01-GRI-20260316,SITE_01,Grinding Media,2026-03-16,51.68,38.54,0,5,1
INV-SITE_01-GRI-20260323,SITE_01,Grinding Media,2026-03-23,75.41,44.72,0,3,1
INV-SITE_01-GRI-20260330,SITE_01,Grinding Media,2026-03-30,82.12,44.24,0,4,1
INV-SITE_01-DRI-20251103,SITE_01,Drill Consumables,2025-11-03,201.0,165.96,0,0,0
INV-SITE_01-DRI-20251110,SITE_01,Drill Consumables,2025-11-10,165.96,177.13,0,0,0
INV-SITE_01-DRI-20251117,SITE_01,Drill Consumables,2025-11-17,177.13,156.6,0,0,0
INV-SITE_01-DRI-20251124,SITE_01,Drill Consumables,2025-11-24,156.6,182.76,0,0,0
INV-SITE_01-DRI-20251201,SITE_01,Drill Consumables,2025-12-01,182.76,184.04,0,0,0
INV-SITE_01-DRI-20251208,SITE_01,Drill Consumables,2025-12-08,184.04,207.34,0,0,0
INV-SITE_01-DRI-20251215,SITE_01,Drill Consumables,2025-12-15,207.34,198.92,0,0,0
INV-SITE_01-DRI-20251222,SITE_01,Drill Consumables,2025-12-22,198.92,164.06,0,0,0
INV-SITE_01-DRI-20251229,SITE_01,Drill Consumables,2025-12-29,164.06,164.46,0,0,0
INV-SITE_01-DRI-20260105,SITE_01,Drill Consumables,2026-01-05,164.46,154.49,0,0,0
INV-SITE_01-DRI-20260112,SITE_01,Drill Consumables,2026-01-12,154.49,140.83,0,0,0
INV-SITE_01-DRI-20260119,SITE_01,Drill Consumables,2026-01-19,140.83,143.7,0,0,0
INV-SITE_01-DRI-20260126,SITE_01,Drill Consumables,2026-01-26,143.7,135.02,0,0,0
INV-SITE_01-DRI-20260202,SITE_01,Drill Consumables,2026-02-02,135.02,124.63,0,0,0
INV-SITE_01-DRI-20260209,SITE_01,Drill Consumables,2026-02-09,124.63,83.58,0,0,0
INV-SITE_01-DRI-20260216,SITE_01,Drill Consumables,2026-02-16,83.58,40.93,0,0,0
INV-SITE_01-DRI-20260223,SITE_01,Drill Consumables,2026-02-23,40.93,9.36,0,7,1
INV-SITE_01-DRI-20260302,SITE_01,Drill Consumables,2026-03-02,28.19,27.91,0,1,0
INV-SITE_01-DRI-20260309,SITE_01,Drill Consumables,2026-03-09,27.91,2.69,1,7,1
INV-SITE_01-DRI-20260316,SITE_01,Drill Consumables,2026-03-16,16.86,0.47,0,7,1
INV-SITE_01-DRI-20260323,SITE_01,Drill Consumables,2026-03-23,26.56,0.0,1,7,1
INV-SITE_01-DRI-20260330,SITE_01,Drill Consumables,2026-03-30,29.82,24.71,0,2,1
INV-SITE_01-TYR-20251103,SITE_01,Tyres,2025-11-03,149.0,93.27,0,0,0
INV-SITE_01-TYR-20251110,SITE_01,Tyres,2025-11-10,93.27,65.75,0,0,0
INV-SITE_01-TYR-20251117,SITE_01,Tyres,2025-11-17,65.75,18.83,0,7,1
INV-SITE_01-TYR-20251124,SITE_01,Tyres,2025-11-24,54.04,25.69,0,5,0
INV-SITE_01-TYR-20251201,SITE_01,Tyres,2025-12-01,25.69,23.99,0,5,1
INV-SITE_01-TYR-20251208,SITE_01,Tyres,2025-12-08,49.06,69.66,0,0,0
INV-SITE_01-TYR-20251215,SITE_01,Tyres,2025-12-15,69.66,47.28,0,0,0
INV-SITE_01-TYR-20251222,SITE_01,Tyres,2025-12-22,47.28,44.92,0,0,0
INV-SITE_01-TYR-20251229,SITE_01,Tyres,2025-12-29,44.92,44.42,0,0,0
INV-SITE_01-TYR-20260105,SITE_01,Tyres,2026-01-05,44.42,0.0,1,7,1
INV-SITE_01-TYR-20260112,SITE_01,Tyres,2026-01-12,37.03,37.19,0,1,1
INV-SITE_01-TYR-20260119,SITE_01,Tyres,2026-01-19,64.05,31.81,0,3,1
INV-SITE_01-TYR-20260126,SITE_01,Tyres,2026-01-26,65.99,39.81,0,0,0
INV-SITE_01-TYR-20260202,SITE_01,Tyres,2026-02-02,39.81,20.3,0,7,1
INV-SITE_01-TYR-20260209,SITE_01,Tyres,2026-02-09,54.23,42.25,0,0,0
INV-SITE_01-TYR-20260216,SITE_01,Tyres,2026-02-16,42.25,0.0,1,7,1
INV-SITE_01-TYR-20260223,SITE_01,Tyres,2026-02-23,31.1,17.08,0,7,1
INV-SITE_01-TYR-20260302,SITE_01,Tyres,2026-03-02,29.56,62.34,0,0,0
INV-SITE_01-TYR-20260309,SITE_01,Tyres,2026-03-09,62.34,60.54,0,0,0
INV-SITE_01-TYR-20260316,SITE_01,Tyres,2026-03-16,60.54,67.58,0,0,0
INV-SITE_01-TYR-20260323,SITE_01,Tyres,2026-03-23,67.58,78.61,0,0,0
INV-SITE_01-TYR-20260330,SITE_01,Tyres,2026-03-30,78.61,77.2,0,0,0
INV-SITE_01-SAF-20251103,SITE_01,Safety PPE,2025-11-03,235.0,239.96,0,0,0
INV-SITE_01-SAF-20251110,SITE_01,Safety PPE,2025-11-10,239.96,230.26,0,0,0
INV-SITE_01-SAF-20251117,SITE_01,Safety PPE,2025-11-17,230.26,213.1,0,0,0
INV-SITE_01-SAF-20251124,SITE_01,Safety PPE,2025-11-24,213.1,215.21,0,0,0
INV-SITE_01-SAF-20251201,SITE_01,Safety PPE,2025-12-01,215.21,217.62,0,0,0
INV-SITE_01-SAF-20251208,SITE_01,Safety PPE,2025-12-08,217.62,232.92,0,0,0
INV-SITE_01-SAF-20251215,SITE_01,Safety PPE,2025-12-15,232.92,205.28,0,0,0
INV-SITE_01-SAF-20251222,SITE_01,Safety PPE,2025-12-22,205.28,167.66,0,0,0
INV-SITE_01-SAF-20251229,SITE_01,Safety PPE,2025-12-29,167.66,122.7,0,0,0
INV-SITE_01-SAF-20260105,SITE_01,Safety PPE,2026-01-05,122.7,96.2,0,0,0
INV-SITE_01-SAF-20260112,SITE_01,Safety PPE,2026-01-12,96.2,86.43,0,0,0
INV-SITE_01-SAF-20260119,SITE_01,Safety PPE,2026-01-19,86.43,81.1,0,0,0
INV-SITE_01-SAF-20260126,SITE_01,Safety PPE,2026-01-26,81.1,50.88,0,0,0
INV-SITE_01-SAF-20260202,SITE_01,Safety PPE,2026-02-02,50.88,45.58,0,1,1
INV-SITE_01-SAF-20260209,SITE_01,Safety PPE,2026-02-09,76.12,29.28,0,6,1
INV-SITE_01-SAF-20260216,SITE_01,Safety PPE,2026-02-16,53.18,42.01,0,2,1
INV-SITE_01-SAF-20260223,SITE_01,Safety PPE,2026-02-23,63.04,49.79,0,0,0
INV-SITE_01-SAF-20260302,SITE_01,Safety PPE,2026-03-02,49.79,31.99,0,5,1
INV-SITE_01-SAF-20260309,SITE_01,Safety PPE,2026-03-09,47.52,48.42,0,1,1
INV-SITE_01-SAF-20260316,SITE_01,Safety PPE,2026-03-16,73.48,89.87,0,0,0
INV-SITE_01-SAF-20260323,SITE_01,Safety PPE,2026-03-23,89.87,82.63,0,0,0
INV-SITE_01-SAF-20260330,SITE_01,Safety PPE,2026-03-30,82.63,61.58,0,0,0
INV-SITE_01-REA-20251103,SITE_01,Reagents,2025-11-03,223.0,215.05,0,0,0
INV-SITE_01-REA-20251110,SITE_01,Reagents,2025-11-10,215.05,229.33,0,0,0
INV-SITE_01-REA-20251117,SITE_01,Reagents,2025-11-17,229.33,230.19,0,0,0
INV-SITE_01-REA-20251124,SITE_01,Reagents,2025-11-24,230.19,226.63,0,0,0
INV-SITE_01-REA-20251201,SITE_01,Reagents,2025-12-01,226.63,242.74,0,0,0
INV-SITE_01-REA-20251208,SITE_01,Reagents,2025-12-08,242.74,253.26,0,0,0
INV-SITE_01-REA-20251215,SITE_01,Reagents,2025-12-15,253.26,215.07,0,0,0
INV-SITE_01-REA-20251222,SITE_01,Reagents,2025-12-22,215.07,169.88,0,0,0
INV-SITE_01-REA-20251229,SITE_01,Reagents,2025-12-29,169.88,152.95,0,0,0
INV-SITE_01-REA-20260105,SITE_01,Reagents,2026-01-05,152.95,198.13,0,0,0
INV-SITE_01-REA-20260112,SITE_01,Reagents,2026-01-12,198.13,120.02,0,0,0
INV-SITE_01-REA-20260119,SITE_01,Reagents,2026-01-19,120.02,50.86,0,0,0
INV-SITE_01-REA-20260126,SITE_01,Reagents,2026-01-26,50.86,58.56,0,0,0
INV-SITE_01-REA-20260202,SITE_01,Reagents,2026-02-02,58.56,54.53,0,0,0
INV-SITE_01-REA-20260209,SITE_01,Reagents,2026-02-09,54.53,25.69,0,6,1
INV-SITE_01-REA-20260216,SITE_01,Reagents,2026-02-16,53.47,27.05,0,5,1
INV-SITE_01-REA-20260223,SITE_01,Reagents,2026-02-23,40.98,50.92,0,0,0
INV-SITE_01-REA-20260302,SITE_01,Reagents,2026-03-02,50.92,34.39,0,3,1
INV-SITE_01-REA-20260309,SITE_01,Reagents,2026-03-09,47.53,54.16,0,0,0
INV-SITE_01-REA-20260316,SITE_01,Reagents,2026-03-16,54.16,51.0,0,0,0
INV-SITE_01-REA-20260323,SITE_01,Reagents,2026-03-23,51.0,40.68,0,1,1
INV-SITE_01-REA-20260330,SITE_01,Reagents,2026-03-30,55.41,62.71,0,0,0
INV-SITE_01-ELE-20251103,SITE_01,Electrical Spares,2025-11-03,139.0,142.38,0,0,0
INV-SITE_01-ELE-20251110,SITE_01,Electrical Spares,2025-11-10,142.38,134.23,0,0,0
INV-SITE_01-ELE-20251117,SITE_01,Electrical Spares,2025-11-17,134.23,139.69,0,0,0
INV-SITE_01-ELE-20251124,SITE_01,Electrical Spares,2025-11-24,139.69,111.63,0,0,0
INV-SITE_01-ELE-20251201,SITE_01,Electrical Spares,2025-12-01,111.63,53.79,0,0,0
INV-SITE_01-ELE-20251208,SITE_01,Electrical Spares,2025-12-08,53.79,43.09,0,0,0
INV-SITE_01-ELE-20251215,SITE_01,Electrical Spares,2025-12-15,43.09,0.0,1,7,1
INV-SITE_01-ELE-20251222,SITE_01,Electrical Spares,2025-12-22,25.4,22.98,0,6,0
INV-SITE_01-ELE-20251229,SITE_01,Electrical Spares,2025-12-29,22.98,0.0,1,7,1
INV-SITE_01-ELE-20260105,SITE_01,Electrical Spares,2026-01-05,21.4,4.05,0,7,0
INV-SITE_01-ELE-20260112,SITE_01,Electrical Spares,2026-01-12,15.0,0.0,1,7,1
INV-SITE_01-ELE-20260119,SITE_01,Electrical Spares,2026-01-19,18.63,35.65,0,2,1
INV-SITE_01-ELE-20260126,SITE_01,Electrical Spares,2026-01-26,54.54,60.1,0,0,0
INV-SITE_01-ELE-20260202,SITE_01,Electrical Spares,2026-02-02,60.1,44.18,0,0,0
INV-SITE_01-ELE-20260209,SITE_01,Electrical Spares,2026-02-09,44.18,50.56,0,0,0
INV-SITE_01-ELE-20260216,SITE_01,Electrical Spares,2026-02-16,50.56,20.6,0,7,1
INV-SITE_01-ELE-20260223,SITE_01,Electrical Spares,2026-02-23,49.83,23.97,0,6,0
INV-SITE_01-ELE-20260302,SITE_01,Electrical Spares,2026-03-02,23.97,11.63,0,7,1
INV-SITE_01-ELE-20260309,SITE_01,Electrical Spares,2026-03-09,37.74,20.23,0,7,1
INV-SITE_01-ELE-20260316,SITE_01,Electrical Spares,2026-03-16,44.42,22.52,0,6,1
INV-SITE_01-ELE-20260323,SITE_01,Electrical Spares,2026-03-23,35.42,0.0,1,7,1
INV-SITE_01-ELE-20260330,SITE_01,Electrical Spares,2026-03-30,16.03,25.6,0,5,0
INV-SITE_01-CON-20251103,SITE_01,Conveyor Parts,2025-11-03,138.0,137.76,0,0,0
INV-SITE_01-CON-20251110,SITE_01,Conveyor Parts,2025-11-10,137.76,131.64,0,0,0
INV-SITE_01-CON-20251117,SITE_01,Conveyor Parts,2025-11-17,131.64,119.83,0,0,0
INV-SITE_01-CON-20251124,SITE_01,Conveyor Parts,2025-11-24,119.83,66.23,0,0,0
INV-SITE_01-CON-20251201,SITE_01,Conveyor Parts,2025-12-01,66.23,48.31,0,1,0
INV-SITE_01-CON-20251208,SITE_01,Conveyor Parts,2025-12-08,48.31,43.74,0,2,0
INV-SITE_01-CON-20251215,SITE_01,Conveyor Parts,2025-12-15,43.74,40.37,0,3,1
INV-SITE_01-CON-20251222,SITE_01,Conveyor Parts,2025-12-22,66.29,50.18,0,1,1
INV-SITE_01-CON-20251229,SITE_01,Conveyor Parts,2025-12-29,79.27,35.04,0,5,1
INV-SITE_01-CON-20260105,SITE_01,Conveyor Parts,2026-01-05,57.59,32.59,0,5,0
INV-SITE_01-CON-20260112,SITE_01,Conveyor Parts,2026-01-12,32.59,5.95,0,7,0
INV-SITE_01-CON-20260119,SITE_01,Conveyor Parts,2026-01-19,15.0,0.0,1,7,1
INV-SITE_01-CON-20260126,SITE_01,Conveyor Parts,2026-01-26,37.6,20.89,0,7,1
INV-SITE_01-CON-20260202,SITE_01,Conveyor Parts,2026-02-02,35.59,54.8,0,0,0
INV-SITE_01-CON-20260209,SITE_01,Conveyor Parts,2026-02-09,54.8,21.4,0,7,1
INV-SITE_01-CON-20260216,SITE_01,Conveyor Parts,2026-02-16,36.66,23.63,0,7,1
INV-SITE_01-CON-20260223,SITE_01,Conveyor Parts,2026-02-23,53.89,27.62,0,7,0
INV-SITE_01-CON-20260302,SITE_01,Conveyor Parts,2026-03-02,27.62,8.13,0,7,0
INV-SITE_01-CON-20260309,SITE_01,Conveyor Parts,2026-03-09,15.0,0.0,1,7,1
INV-SITE_01-CON-20260316,SITE_01,Conveyor Parts,2026-03-16,26.6,0.0,1,7,1
INV-SITE_01-CON-20260323,SITE_01,Conveyor Parts,2026-03-23,16.34,0.0,1,7,1
INV-SITE_01-CON-20260330,SITE_01,Conveyor Parts,2026-03-30,23.73,20.49,0,7,0
INV-SITE_01-GEN-20251103,SITE_01,General MRO,2025-11-03,171.0,178.23,0,0,0
INV-SITE_01-GEN-20251110,SITE_01,General MRO,2025-11-10,178.23,138.71,0,0,0
INV-SITE_01-GEN-20251117,SITE_01,General MRO,2025-11-17,138.71,134.34,0,0,0
INV-SITE_01-GEN-20251124,SITE_01,General MRO,2025-11-24,134.34,114.21,0,0,0
INV-SITE_01-GEN-20251201,SITE_01,General MRO,2025-12-01,114.21,146.84,0,0,0
INV-SITE_01-GEN-20251208,SITE_01,General MRO,2025-12-08,146.84,177.88,0,0,0
INV-SITE_01-GEN-20251215,SITE_01,General MRO,2025-12-15,177.88,186.97,0,0,0
INV-SITE_01-GEN-20251222,SITE_01,General MRO,2025-12-22,186.97,201.91,0,0,0
INV-SITE_01-GEN-20251229,SITE_01,General MRO,2025-12-29,201.91,195.54,0,0,0
INV-SITE_01-GEN-20260105,SITE_01,General MRO,2026-01-05,195.54,171.7,0,0,0
INV-SITE_01-GEN-20260112,SITE_01,General MRO,2026-01-12,171.7,142.54,0,0,0
INV-SITE_01-GEN-20260119,SITE_01,General MRO,2026-01-19,142.54,121.44,0,0,0
INV-SITE_01-GEN-20260126,SITE_01,General MRO,2026-01-26,121.44,102.12,0,0,0
INV-SITE_01-GEN-20260202,SITE_01,General MRO,2026-02-02,102.12,75.66,0,0,0
INV-SITE_01-GEN-20260209,SITE_01,General MRO,2026-02-09,75.66,29.77,0,7,1
INV-SITE_01-GEN-20260216,SITE_01,General MRO,2026-02-16,66.54,76.68,0,0,0
INV-SITE_01-GEN-20260223,SITE_01,General MRO,2026-02-23,76.68,62.2,0,0,0
INV-SITE_01-GEN-20260302,SITE_01,General MRO,2026-03-02,62.2,73.28,0,0,0
INV-SITE_01-GEN-20260309,SITE_01,General MRO,2026-03-09,73.28,27.15,0,7,0
INV-SITE_01-GEN-20260316,SITE_01,General MRO,2026-03-16,27.15,19.66,0,7,1
INV-SITE_01-GEN-20260323,SITE_01,General MRO,2026-03-23,41.13,51.62,0,2,1
INV-SITE_01-GEN-20260330,SITE_01,General MRO,2026-03-30,72.37,54.7,0,1,0
INV-SITE_02-EXP-20251103,SITE_02,Explosives,2025-11-03,113.0,69.21,0,0,0
INV-SITE_02-EXP-20251110,SITE_02,Explosives,2025-11-10,69.21,62.31,0,0,0
INV-SITE_02-EXP-20251117,SITE_02,Explosives,2025-11-17,62.31,49.88,0,2,0
INV-SITE_02-EXP-20251124,SITE_02,Explosives,2025-11-24,49.88,42.02,0,4,1
INV-SITE_02-EXP-20251201,SITE_02,Explosives,2025-12-01,61.98,91.86,0,0,0
INV-SITE_02-EXP-20251208,SITE_02,Explosives,2025-12-08,91.86,90.66,0,0,0
INV-SITE_02-EXP-20251215,SITE_02,Explosives,2025-12-15,90.66,126.59,0,0,0
INV-SITE_02-EXP-20251222,SITE_02,Explosives,2025-12-22,126.59,103.1,0,0,0
INV-SITE_02-EXP-20251229,SITE_02,Explosives,2025-12-29,103.1,86.14,0,0,0
INV-SITE_02-EXP-20260105,SITE_02,Explosives,2026-01-05,86.14,95.64,0,0,0
INV-SITE_02-EXP-20260112,SITE_02,Explosives,2026-01-12,95.64,74.2,0,0,0
INV-SITE_02-EXP-20260119,SITE_02,Explosives,2026-01-19,74.2,62.22,0,0,0
INV-SITE_02-EXP-20260126,SITE_02,Explosives,2026-01-26,62.22,80.38,0,0,0
INV-SITE_02-EXP-20260202,SITE_02,Explosives,2026-02-02,80.38,40.03,0,5,1
INV-SITE_02-EXP-20260209,SITE_02,Explosives,2026-02-09,65.94,54.1,0,1,1
INV-SITE_02-EXP-20260216,SITE_02,Explosives,2026-02-16,84.24,35.53,0,6,0
INV-SITE_02-EXP-20260223,SITE_02,Explosives,2026-02-23,35.53,0.0,1,7,1
INV-SITE_02-EXP-20260302,SITE_02,Explosives,2026-03-02,21.92,27.41,0,7,0
INV-SITE_02-EXP-20260309,SITE_02,Explosives,2026-03-09,27.41,17.04,0,7,0
INV-SITE_02-EXP-20260316,SITE_02,Explosives,2026-03-16,17.04,0.0,1,7,1
INV-SITE_02-EXP-20260323,SITE_02,Explosives,2026-03-23,27.61,34.01,0,6,1
INV-SITE_02-EXP-20260330,SITE_02,Explosives,2026-03-30,47.98,43.64,0,4,1
INV-SITE_02-DIE-20251103,SITE_02,Diesel,2025-11-03,202.0,157.82,0,0,0
INV-SITE_02-DIE-20251110,SITE_02,Diesel,2025-11-10,157.82,147.1,0,0,0
INV-SITE_02-DIE-20251117,SITE_02,Diesel,2025-11-17,147.1,149.15,0,0,0
INV-SITE_02-DIE-20251124,SITE_02,Diesel,2025-11-24,149.15,117.36,0,0,0
INV-SITE_02-DIE-20251201,SITE_02,Diesel,2025-12-01,117.36,145.26,0,0,0
INV-SITE_02-DIE-20251208,SITE_02,Diesel,2025-12-08,145.26,155.61,0,0,0
INV-SITE_02-DIE-20251215,SITE_02,Diesel,2025-12-15,155.61,133.53,0,0,0
INV-SITE_02-DIE-20251222,SITE_02,Diesel,2025-12-22,133.53,117.33,0,0,0
INV-SITE_02-DIE-20251229,SITE_02,Diesel,2025-12-29,117.33,107.03,0,0,0
INV-SITE_02-DIE-20260105,SITE_02,Diesel,2026-01-05,107.03,91.3,0,0,0
INV-SITE_02-DIE-20260112,SITE_02,Diesel,2026-01-12,91.3,61.94,0,0,0
INV-SITE_02-DIE-20260119,SITE_02,Diesel,2026-01-19,61.94,42.84,0,0,0
INV-SITE_02-DIE-20260126,SITE_02,Diesel,2026-01-26,42.84,19.84,0,6,1
INV-SITE_02-DIE-20260202,SITE_02,Diesel,2026-02-02,46.75,14.1,0,7,1
INV-SITE_02-DIE-20260209,SITE_02,Diesel,2026-02-09,41.58,30.96,0,1,1
INV-SITE_02-DIE-20260216,SITE_02,Diesel,2026-02-16,54.13,60.89,0,0,0
INV-SITE_02-DIE-20260223,SITE_02,Diesel,2026-02-23,60.89,34.65,0,0,0
INV-SITE_02-DIE-20260302,SITE_02,Diesel,2026-03-02,34.65,25.59,0,3,1
INV-SITE_02-DIE-20260309,SITE_02,Diesel,2026-03-09,48.04,0.0,1,7,1
INV-SITE_02-DIE-20260316,SITE_02,Diesel,2026-03-16,18.89,0.0,1,7,1
INV-SITE_02-DIE-20260323,SITE_02,Diesel,2026-03-23,34.88,4.41,0,7,1
INV-SITE_02-DIE-20260330,SITE_02,Diesel,2026-03-30,18.88,16.4,0,7,1
INV-SITE_02-GRI-20251103,SITE_02,Grinding Media,2025-11-03,201.0,178.53,0,0,0
INV-SITE_02-GRI-20251110,SITE_02,Grinding Media,2025-11-10,178.53,157.5,0,0,0
INV-SITE_02-GRI-20251117,SITE_02,Grinding Media,2025-11-17,157.5,159.95,0,0,0
INV-SITE_02-GRI-20251124,SITE_02,Grinding Media,2025-11-24,159.95,128.43,0,0,0
INV-SITE_02-GRI-20251201,SITE_02,Grinding Media,2025-12-01,128.43,105.09,0,0,0
INV-SITE_02-GRI-20251208,SITE_02,Grinding Media,2025-12-08,105.09,85.23,0,0,0
INV-SITE_02-GRI-20251215,SITE_02,Grinding Media,2025-12-15,85.23,104.22,0,0,0
INV-SITE_02-GRI-20251222,SITE_02,Grinding Media,2025-12-22,104.22,70.69,0,0,0
INV-SITE_02-GRI-20251229,SITE_02,Grinding Media,2025-12-29,70.69,25.16,0,7,1
INV-SITE_02-GRI-20260105,SITE_02,Grinding Media,2026-01-05,54.1,24.18,0,7,1
INV-SITE_02-GRI-20260112,SITE_02,Grinding Media,2026-01-12,52.84,64.98,0,0,0
INV-SITE_02-GRI-20260119,SITE_02,Grinding Media,2026-01-19,64.98,60.33,0,0,0
INV-SITE_02-GRI-20260126,SITE_02,Grinding Media,2026-01-26,60.33,91.66,0,0,0
