delivery_id,po_id,supplier_id,site_id,delivery_date,on_time_flag,quantity_fulfilled_pct,quality_issue_flag,transport_issue_flag,documentation_issue_flag
D000030,PO000030,S0100,SITE_02,2026-01-24,1,0.914,0,0,0
D000031,PO000031,S0093,SITE_08,2026-03-08,0,1.0,0,0,0
D000032,PO000032,S0026,SITE_06,2026-01-31,0,0.846,0,1,0
D000033,PO000033,S0063,SITE_03,2025-11-02,1,1.0,0,0,0
D000034,PO000034,S0112,SITE_08,2026-01-03,1,0.938,1,0,0
D000035,PO000035,S0013,SITE_03,2026-04-07,0,0.938,0,0,0
D000036,PO000036,S0006,SITE_06,2026-04-10,1,0.877,0,0,0
D000037,PO000037,S0097,SITE_04,2026-04-17,1,0.863,0,0,0
D000038,PO000038,S0048,SITE_12,2025-11-09,0,0.897,0,0,0
D000039,PO000039,S0046,SITE_12,2026-03-22,1,0.929,1,0,0
D000040,PO000040,S0069,SITE_05,2025-12-13,0,0.914,0,0,0
D000041,PO000041,S0026,SITE_10,2026-01-25,1,1.0,0,0,0
D000042,PO000042,S0031,SITE_08,2026-04-02,1,0.925,0,0,0
D000043,PO000043,S0111,SITE_11,2026-01-19,1,0.936,0,0,0
D000044,PO000044,S0090,SITE_11,2026-03-30,1,0.911,1,0,0
D000045,PO000045,S0068,SITE_03,2026-04-08,1,1.0,0,1,0
D000046,PO000046,S0103,SITE_02,2025-11-11,1,0.913,0,0,0
D000047,PO000047,S0058,SITE_02,2025-12-31,1,0.861,0,0,1
D000048,PO000048,S0061,SITE_06,2026-01-06,1,0.929,0,0,0
D000049,PO000049,S0112,SITE_03,2026-01-05,1,0.881,0,0,0
D000050,PO000050,S0114,SITE_03,2025-11-09,1,0.865,0,0,0
D000051,PO000051,S0045,SITE_12,2026-01-23,1,0.808,0,1,0
D000052,PO000052,S0034,SITE_01,2025-10-17,1,0.965,0,0,0
D000053,PO000053,S0021,SITE_12,2025-12-11,1,1.0,0,0,0
D000054,PO000054,S0065,SITE_10,2025-11-04,1,0.908,0,0,1
D000055,PO000055,S0116,SITE_11,2025-11-25,1,1.0,0,1,0
D000056,PO000056,S0014,SITE_02,2026-03-07,1,0.861,0,0,0
D000057,PO000057,S0074,SITE_04,2026-04-14,0,0.904,0,1,0
D000058,PO000058,S0062,SITE_05,2025-11-29,0,0.971,0,0,0
D000059,PO000059,S0097,SITE_11,2026-02-16,0,1.0,0,0,0
D000060,PO000060,S0075,SITE_12,2026-03-23,1,0.972,0,0,0
D000061,PO000061,S0020,SITE_06,2026-03-29,0,0.819,0,0,0
D000062,PO000062,S0064,SITE_07,2025-10-21,1,1.0,0,0,0
D000063,PO000063,S0089,SITE_08,2025-12-08,0,1.0,0,1,0
D000064,PO000064,S0087,SITE_01,2026-03-23,1,0.985,0,0,0
D000065,PO000065,S0077,SITE_06,2026-02-24,1,1.0,0,0,0
D000066,PO000066,S0059,SITE_06,2026-01-26,0,0.848,0,0,0
D000067,PO000067,S0088,SITE_04,2026-01-23,1,1.0,0,0,0
D000068,PO000068,S0088,SITE_10,2025-11-14,0,0.922,0,1,0
D000069,PO000069,S0016,SITE_09,2026-01-31,1,0.94,0,0,0
D000070,PO000070,S0053,SITE_10,2025-12-13,0,0.968,0,1,0
D000071,PO000071,S0091,SITE_03,2025-12-22,0,0.854,1,1,0
D000072,PO000072,S0092,SITE_01,2026-04-11,1,0.877,0,0,0
D000073,PO000073,S0100,SITE_11,2026-01-27,0,0.972,0,0,0
D000074,PO000074,S0055,SITE_07,2026-03-03,0,0.949,0,0,0
D000075,PO000075,S0120,SITE_09,2026-04-02,1,0.885,0,0,0
D000076,PO000076,S0052,SITE_05,2026-04-16,1,1.0,0,0,0
D000077,PO000077,S0092,SITE_05,2025-11-10,1,0.897,0,0,0
D000078,PO000078,S0098,SITE_04,2026-03-02,1,1.0,0,0,0
D000079,PO000079,S0029,SITE_09,2025-12-05,1,0.984,0,0,0
D000080,PO000080,S0093,SITE_05,2026-04-11,1,0.854,0,0,0
D000081,PO000081,S0025,SITE_02,2025-12-25,1,0.955,0,0,0
D000082,PO000082,S0017,SITE_12,2025-11-16,0,0.933,0,0,0
D000083,PO000083,S0012,SITE_05,2026-01-13,0,0.926,0,0,0
D000084,PO000084,S0065,SITE_10,2026-02-03,1,0.942,0,0,0
D000085,PO000085,S0049,SITE_11,2026-02-14,1,0.95,0,0,0
D000086,PO000086,S0030,SITE_11,2025-11-03,0,0.949,0,0,0
D000087,PO000087,S0094,SITE_02,2026-04-10,1,0.933,0,0,0
D000088,PO000088,S0053,SITE_02,2026-03-06,1,0.919,0,0,0
D000089,PO000089,S0015,SITE_10,2026-03-11,0,0.844,0,1,0
D000090,PO000090,S0096,SITE_06,2026-04-20,0,1.0,0,0,0
D000091,PO000091,S0111,SITE_01,2026-04-08,1,0.98,0,0,0
D000092,PO000092,S0050,SITE_06,2026-04-08,1,0.826,0,0,0
D000093,PO000093,S0080,SITE_06,2025-11-30,0,1.0,0,0,0
D000094,PO000094,S0091,SITE_01,2026-03-24,1,0.884,0,0,0
D000095,PO000095,S0104,SITE_07,2026-01-27,1,1.0,0,0,0
D000096,PO000096,S0045,SITE_09,2026-04-20,1,0.961,1,0,0
D000097,PO000097,S0007,SITE_05,2026-04-15,1,1.0,0,0,0
D000098,PO000098,S0111,SITE_02,2025-11-03,0,0.922,0,0,0
D000099,PO000099,S0011,SITE_10,2025-10-31,1,0.962,0,0,0
D000100,PO000100,S0021,SITE_06,2025-11-02,1,0.832,0,0,0
D000101,PO000101,S0115,SITE_09,2026-02-06,1,0.986,0,0,0
D000102,PO000102,S0119,SITE_07,2025-12-12,0,0.908,0,0,0
D000103,PO000103,S0075,SITE_09,2026-01-24,1,0.935,0,0,0
D000104,PO000104,S0093,SITE_03,2026-03-20,1,0.889,0,0,0
D000105,PO000105,S0112,SITE_06,2026-04-16,0,0.948,1,0,0
D000106,PO000106,S0062,SITE_05,2026-01-29,1,0.981,0,0,0
D000107,PO000107,S0078,SITE_06,2025-12-28,1,0.939,0,1,0
D000108,PO000108,S0049,SITE_08,2025-11-28,1,0.923,1,1,0
D000109,PO000109,S0019,SITE_10,2026-01-17,1,0.939,0,0,0
D000110,PO000110,S0091,SITE_12,2025-10-29,1,0.916,0,0,0
D000111,PO000111,S0112,SITE_03,2025-12-13,1,0.802,0,0,0
D000112,PO000112,S0077,SITE_07,2025-11-11,1,0.939,0,0,0
D000113,PO000113,S0090,SITE_06,2025-11-21,1,0.884,0,0,0
D000114,PO000114,S0054,SITE_02,2025-11-24,0,0.904,0,1,0
D000115,PO000115,S0003,SITE_11,2025-11-12,0,0.911,0,1,1
D000116,PO000116,S0108,SITE_02,2025-10-29,1,0.981,0,1,0
D000117,PO000117,S0116,SITE_12,2026-03-29,0,0.972,0,0,0
D000118,PO000118,S0043,SITE_06,2026-03-06,1,0.895,0,0,0
D000119,PO000119,S0104,SITE_06,2026-02-14,1,0.948,0,0,0
D000120,PO000120,S0055,SITE_07,2026-03-28,1,0.937,0,0,0
D000121,PO000121,S0112,SITE_09,2026-04-15,0,0.872,0,0,0
D000122,PO000122,S0113,SITE_08,2026-01-11,1,1.0,0,0,0
D000123,PO000123,S0063,SITE_06,2026-03-01,1,0.953,0,0,0
D000124,PO000124,S0088,SITE_06,2026-02-01,1,0.954,0,0,0
D000125,PO000125,S0071,SITE_08,2026-01-12,1,0.885,0,0,0
D000126,PO000126,S0019,SITE_04,2025-11-05,0,0.927,0,0,0
D000127,PO000127,S0039,SITE_11,2025-10-27,1,0.943,0,0,0
D000128,PO000128,S0033,SITE_02,2025-11-25,1,0.938,1,0,0
D000129,PO000129,S0053,SITE_09,2026-02-08,1,0.94,1,0,1
D000130,PO000130,S0079,SITE_10,2026-03-25,1,0.879,0,0,0
D000131,PO000131,S0089,SITE_02,2025-11-15,0,0.888,0,0,0
D000132,PO000132,S0061,SITE_08,2025-12-14,1,0.997,0,0,0
D000133,PO000133,S0012,SITE_12,2025-11-22,0,0.924,0,0,0
D000134,PO000134,S0057,SITE_01,2025-11-17,0,1.0,1,0,0
D000135,PO000135,S0061,SITE_12,2026-04-17,1,1.0,0,0,0
D000136,PO000136,S0061,SITE_11,2026-01-05,1,0.961,1,0,0
D000137,PO000137,S0118,SITE_09,2026-02-28,0,0.998,0,0,0
D000138,PO000138,S0056,SITE_08,2026-01-01,0,0.95,0,0,0
D000139,PO000139,S0067,SITE_02,2026-04-15,1,0.904,0,0,0
D000140,PO000140,S0019,SITE_09,2026-01-09,0,0.932,0,0,0
D000141,PO000141,S0022,SITE_06,2026-02-13,1,0.997,0,0,0
D000142,PO000142,S0112,SITE_05,2025-12-15,0,0.945,0,0,0
D000143,PO000143,S0004,SITE_03,2025-12-09,0,0.9,0,1,0
D000144,PO000144,S0093,SITE_01,2026-03-05,0,1.0,0,0,0
D000145,PO000145,S0009,SITE_12,2026-01-16,1,1.0,0,0,0
D000146,PO000146,S0089,SITE_10,2026-03-19,1,0.942,0,0,0
D000147,PO000147,S0050,SITE_12,2026-01-12,0,0.807,0,1,0
D000148,PO000148,S0007,SITE_06,2026-01-20,1,0.97,0,0,0
D000149,PO000149,S0068,SITE_09,2026-04-08,1,0.985,0,1,0
D000150,PO000150,S0117,SITE_03,2026-03-17,1,0.967,0,0,0
D000151,PO000151,S0041,SITE_08,2025-11-25,1,0.904,0,0,0
D000152,PO000152,S0080,SITE_04,2025-12-16,1,0.916,0,0,0
D000153,PO000153,S0087,SITE_04,2026-04-08,0,0.983,0,1,0
D000154,PO000154,S0042,SITE_04,2025-12-24,1,0.934,0,0,0
D000155,PO000155,S0108,SITE_08,2025-11-06,0,0.902,0,0,0
D000156,PO000156,S0106,SITE_06,2025-11-23,0,1.0,0,0,0
D000157,PO000157,S0031,SITE_08,2025-12-27,1,0.925,0,0,0
D000158,PO000158,S0032,SITE_01,2025-12-30,1,1.0,0,0,0
D000159,PO000159,S0116,SITE_12,2026-02-28,0,0.991,0,0,0
D000160,PO000160,S0004,SITE_07,2025-11-16,1,0.863,0,0,0
D000161,PO000161,S0091,SITE_02,2026-02-01,0,0.837,0,0,0
D000162,PO000162,S0085,SITE_04,2025-12-01,1,0.906,1,1,0
D000163,PO000163,S0107,SITE_03,2025-12-20,1,0.86,1,0,0
D000164,PO000164,S0001,SITE_03,2026-01-22,1,0.981,0,0,0
D000165,PO000165,S0075,SITE_12,2026-03-17,1,0.97,0,0,0
D000166,PO000166,S0099,SITE_06,2026-02-12,1,0.915,0,0,0
D000167,PO000167,S0010,SITE_02,2026-02-10,1,0.919,0,0,0
D000168,PO000168,S0026,SITE_11,2026-03-11,1,0.976,0,1,0
D000169,PO000169,S0001,SITE_09,2025-10-26,1,1.0,0,0,0
D000170,PO000170,S0003,SITE_06,2026-02-04,0,1.0,0,0,0
D000171,PO000171,S0069,SITE_10,2026-04-02,1,1.0,0,1,0
D000172,PO000172,S0083,SITE_01,2025-12-30,0,0.899,0,0,0
D000173,PO000173,S0018,SITE_10,2026-03-25,0,0.966,0,0,0
D000174,PO000174,S0069,SITE_01,2025-11-08,0,0.894,0,0,0
D000175,PO000175,S0042,SITE_10,2026-03-26,0,0.885,0,0,1
D000176,PO000176,S0074,SITE_08,2025-11-30,1,0.913,0,0,0
D000177,PO000177,S0105,SITE_04,2026-01-31,1,0.902,0,0,0
D000178,PO000178,S0065,SITE_12,2026-01-08,1,0.965,0,0,0
D000179,PO000179,S0112,SITE_02,2025-11-06,1,0.835,0,0,0
D000180,PO000180,S0111,SITE_09,2025-11-24,0,0.957,0,0,0
D000181,PO000181,S0020,SITE_01,2025-12-07,1,0.92,0,0,0
D000182,PO000182,S0042,SITE_08,2026-02-16,1,0.853,0,0,0
D000183,PO000183,S0013,SITE_07,2026-03-02,1,0.864,0,0,0
D000184,PO000184,S0100,SITE_11,2026-04-01,0,0.939,0,0,0
D000185,PO000185,S0020,SITE_05,2026-04-24,0,0.987,0,0,0
D000186,PO000186,S0041,SITE_11,2026-03-14,1,0.957,1,0,0
D000187,PO000187,S0112,SITE_11,2026-02-18,0,0.867,0,0,0
D000188,PO000188,S0093,SITE_12,2026-01-15,1,0.932,0,0,0
D000189,PO000189,S0106,SITE_06,2026-02-19,1,0.904,0,0,0
D000190,PO000190,S0101,SITE_05,2025-11-13,1,0.986,0,0,0
D000191,PO000191,S0045,SITE_12,2026-04-04,0,0.874,0,0,0
D000192,PO000192,S0002,SITE_03,2026-03-17,1,1.0,0,0,0
D000193,PO000193,S0017,SITE_07,2026-03-24,1,0.955,0,0,0
D000194,PO000194,S0014,SITE_08,2026-03-22,0,0.909,1,0,0
D000195,PO000195,S0098,SITE_08,2026-02-23,0,0.936,0,0,0
D000196,PO000196,S0012,SITE_06,2026-02-12,1,0.971,0,0,0
D000197,PO000197,S0002,SITE_04,2026-03-08,0,0.879,1,0,0
D000198,PO000198,S0024,SITE_05,2025-10-16,1,0.932,0,1,0
D000199,PO000199,S0041,SITE_10,2026-02-16,1,0.878,0,0,0
D000200,PO000200,S0101,SITE_09,2026-01-14,1,0.969,0,0,0
D000201,PO000201,S0007,SITE_05,2025-12-21,1,1.0,0,1,0
D000202,PO000202,S0033,SITE_07,2026-03-26,0,1.0,0,0,0
D000203,PO000203,S0051,SITE_09,2026-02-09,0,0.954,0,0,0
D000204,PO000204,S0076,SITE_09,2026-01-22,0,0.977,0,0,0
D000205,PO000205,S0100,SITE_10,2026-04-24,0,0.908,0,0,0
D000206,PO000206,S0088,SITE_03,2026-03-19,0,1.0,0,1,0
D000207,PO000207,S0026,SITE_05,2025-12-24,1,0.963,0,0,0
D000208,PO000208,S0068,SITE_10,2025-12-19,1,0.918,0,0,0
D000209,PO000209,S0038,SITE_07,2025-11-24,1,0.957,0,0,0
D000210,PO000210,S0033,SITE_02,2025-11-14,0,1.0,0,1,0
D000211,PO000211,S0020,SITE_12,2026-01-14,0,0.951,1,0,0
D000212,PO000212,S0103,SITE_09,2026-02-20,1,0.911,0,0,0
D000213,PO000213,S0043,SITE_03,2026-02-07,1,0.879,0,0,0
D000214,PO000214,S0104,SITE_05,2025-10-30,0,1.0,0,0,0
D000215,PO000215,S0089,SITE_11,2026-03-14,1,0.922,0,0,0
D000216,PO000216,S0072,SITE_06,2026-03-26,0,1.0,0,0,0
D000217,PO000217,S0026,SITE_10,2026-03-16,1,0.946,1,1,0
D000218,PO000218,S0005,SITE_09,2026-01-26,1,0.898,0,1,0
D000219,PO000219,S0053,SITE_08,2026-03-03,1,0.984,1,1,0
D000220,PO000220,S0098,SITE_12,2025-12-21,1,1.0,1,0,0
D000221,PO000221,S0067,SITE_07,2025-11-14,0,0.971,0,0,0
D000222,PO000222,S0084,SITE_03,2026-02-24,1,0.922,0,0,0
D000223,PO000223,S0113,SITE_10,2026-03-19,1,0.997,0,0,0
D000224,PO000224,S0076,SITE_08,2025-10-28,1,0.93,0,0,0
D000225,PO000225,S0015,SITE_01,2025-10-26,0,0.822,0,1,0
D000226,PO000226,S0072,SITE_04,2026-01-22,0,0.939,1,0,0
D000227,PO000227,S0089,SITE_01,2026-01-16,1,1.0,0,0,0
D000228,PO000228,S0091,SITE_09,2025-12-28,1,0.836,0,0,0
D000229,PO000229,S0006,SITE_10,2025-12-05,0,0.936,0,1,0
D000230,PO000230,S0075,SITE_05,2025-12-13,0,0.997,0,1,0
D000231,PO000231,S0052,SITE_03,2026-03-03,1,0.967,0,0,0
D000232,PO000232,S0050,SITE_11,2026-01-16,0,0.911,0,0,0
D000233,PO000233,S0111,SITE_02,2026-03-22,1,0.951,0,0,0
D000234,PO000234,S0038,SITE_07,2025-12-06,1,0.941,0,0,0
D000235,PO000235,S0024,SITE_02,2026-03-21,1,0.959,0,0,0
D000236,PO000236,S0105,SITE_08,2026-02-05,0,0.971,0,0,0
D000237,PO000237,S0036,SITE_12,2026-02-03,1,0.913,0,0,0
D000238,PO000238,S0018,SITE_04,2025-11-13,0,0.912,0,0,0
D000239,PO000239,S0105,SITE_02,2025-11-09,1,0.831,0,0,0
D000240,PO000240,S0071,SITE_11,2026-01-26,1,0.96,0,0,0
D000241,PO000241,S0019,SITE_12,2026-03-18,1,0.922,0,1,0
D000242,PO000242,S0003,SITE_12,2026-02-15,1,0.988,0,0,0
D000243,PO000243,S0063,SITE_01,2025-12-17,1,0.964,0,0,0
D000244,PO000244,S0112,SITE_07,2025-12-18,1,0.932,0,0,0
D000245,PO000245,S0057,SITE_12,2026-01-25,1,0.94,1,0,0
D000246,PO000246,S0090,SITE_02,2026-02-20,1,0.947,0,0,0
D000247,PO000247,S0112,SITE_10,2025-11-16,0,0.998,0,0,0
D000248,PO000248,S0091,SITE_02,2026-02-10,1,0.849,0,0,0
D000249,PO000249,S0011,SITE_04,2025-11-06,1,0.907,0,1,0
D000250,PO000250,S0036,SITE_10,2026-04-08,1,0.954,0,0,0
D000251,PO000251,S0050,SITE_02,2026-01-10,1,0.906,0,0,0
D000252,PO000252,S0018,SITE_12,2025-11-11,1,1.0,0,0,0
D000253,PO000253,S0081,SITE_10,2026-01-02,1,0.877,0,0,0
D000254,PO000254,S0025,SITE_11,2026-01-15,0,0.956,0,0,0
D000255,PO000255,S0102,SITE_03,2026-02-01,0,0.837,0,0,0
D000256,PO000256,S0110,SITE_05,2026-02-22,0,0.938,1,0,0
D000257,PO000257,S0105,SITE_01,2026-04-07,0,0.941,0,0,0
D000258,PO000258,S0030,SITE_08,2025-12-17,0,0.897,0,0,0
D000259,PO000259,S0111,SITE_05,2026-03-20,1,0.936,0,0,0
D000260,PO000260,S0103,SITE_08,2025-12-01,1,0.922,0,0,0
D000261,PO000261,S0115,SITE_09,2026-02-08,1,0.969,0,0,1
D000262,PO000262,S0113,SITE_06,2026-02-04,1,0.884,0,0,0
D000263,PO000263,S0081,SITE_01,2025-11-19,1,0.925,0,0,0
D000264,PO000264,S0066,SITE_07,2025-11-07,1,1.0,1,0,0
D000265,PO000265,S0087,SITE_08,2025-11-29,0,1.0,0,1,0
D000266,PO000266,S0104,SITE_04,2025-11-24,1,0.932,0,0,0
D000267,PO000267,S0094,SITE_11,2026-01-09,1,0.968,0,0,0
D000268,PO000268,S0028,SITE_02,2025-10-29,1,0.935,0,0,0
D000269,PO000269,S0041,SITE_01,2025-11-23,1,1.0,0,0,0
D000270,PO000270,S0113,SITE_01,2025-10-25,0,0.932,0,1,0
D000271,PO000271,S0030,SITE_07,2026-01-18,0,1.0,0,0,0
D000272,PO000272,S0112,SITE_07,2026-03-11,0,1.0,0,0,0
D000273,PO000273,S0008,SITE_03,2025-11-10,0,0.931,0,0,0
D000274,PO000274,S0031,SITE_05,2026-01-31,1,0.832,0,1,0
D000275,PO000275,S0023,SITE_02,2026-03-27,0,0.849,1,1,0
D000276,PO000276,S0016,SITE_07,2025-12-31,1,0.987,0,0,0
D000277,PO000277,S0035,SITE_09,2026-04-08,0,0.871,0,0,0
D000278,PO000278,S0014,SITE_04,2026-01-26,0,0.906,0,0,0
D000279,PO000279,S0013,SITE_10,2025-12-28,1,0.932,0,0,0
D000280,PO000280,S0009,SITE_06,2025-11-23,1,0.983,0,0,0
D000281,PO000281,S0115,SITE_07,2026-02-18,1,1.0,0,0,0
D000282,PO000282,S0059,SITE_01,2025-12-10,1,0.934,0,0,0
D000283,PO000283,S0075,SITE_09,2026-03-05,0,0.983,0,0,0
D000284,PO000284,S0058,SITE_02,2025-10-27,1,0.859,0,0,0
D000285,PO000285,S0039,SITE_01,2025-11-15,0,1.0,0,0,0
D000286,PO000286,S0089,SITE_11,2025-11-09,1,0.872,1,0,0
D000287,PO000287,S0112,SITE_05,2025-11-08,1,0.865,0,0,0
D000288,PO000288,S0033,SITE_03,2025-12-27,1,0.961,0,0,0
D000289,PO000289,S0024,SITE_02,2026-02-15,1,0.958,0,0,0
D000290,PO000290,S0064,SITE_02,2026-03-25,1,0.986,0,0,0
D000291,PO000291,S0021,SITE_09,2026-03-27,0,1.0,0,0,0
D000292,PO000292,S0084,SITE_04,2026-02-15,0,0.97,0,0,0
D000293,PO000293,S0088,SITE_06,2026-02-06,0,1.0,0,0,0
D000294,PO000294,S0111,SITE_08,2026-01-25,1,0.937,0,0,0
D000295,PO000295,S0083,SITE_05,2026-02-27,1,0.85,0,0,0
D000296,PO000296,S0058,SITE_08,2026-03-24,0,0.863,0,0,0
D000297,PO000297,S0045,SITE_04,2026-04-06,1,0.86,0,0,0
D000298,PO000298,S0053,SITE_08,2025-11-04,0,0.939,0,0,0
D000299,PO000299,S0019,SITE_05,2026-01-21,0,0.871,0,0,1
D000300,PO000300,S0054,SITE_03,2026-02-27,1,0.96,0,0,0
D000301,PO000301,S0092,SITE_03,2025-11-04,1,0.894,0,0,0
D000302,PO000302,S0082,SITE_01,2026-02-27,1,0.929,0,0,0
D000303,PO000303,S0001,SITE_01,2025-10-30,1,0.965,0,0,0
D000304,PO000304,S0009,SITE_08,2025-12-26,1,1.0,0,0,0
D000305,PO000305,S0046,SITE_07,2026-03-01,1,0.886,0,0,0
D000306,PO000306,S0068,SITE_11,2026-01-25,1,0.984,0,0,0
D000307,PO000307,S0090,SITE_12,2025-10-21,1,1.0,0,0,0
D000308,PO000308,S0074,SITE_05,2026-03-25,1,0.946,0,0,0
D000309,PO000309,S0069,SITE_06,2026-03-13,0,0.999,0,0,0
D000310,PO000310,S0111,SITE_11,2026-03-03,1,0.994,0,0,0
D000311,PO000311,S0021,SITE_08,2026-01-03,0,0.93,0,1,0
D000312,PO000312,S0059,SITE_01,2026-04-17,0,0.951,1,0,0
D000313,PO000313,S0096,SITE_10,2025-11-21,0,1.0,0,0,0
D000314,PO000314,S0079,SITE_06,2026-01-15,0,0.877,0,0,0
D000315,PO000315,S0018,SITE_07,2025-12-02,1,0.92,0,0,0
D000316,PO000316,S0073,SITE_07,2025-11-05,0,0.973,0,1,0
D000317,PO000317,S0101,SITE_03,2025-12-07,1,0.954,0,0,0
D000318,PO000318,S0017,SITE_06,2025-11-30,1,0.917,0,0,0
D000319,PO000319,S0009,SITE_11,2026-03-12,1,0.949,0,0,0
D000320,PO000320,S0059,SITE_06,2025-11-06,0,0.942,0,1,0
D000321,PO000321,S0027,SITE_06,2026-04-10,1,0.938,0,0,0
D000322,PO000322,S0063,SITE_08,2025-10-27,1,1.0,0,1,0
D000323,PO000323,S0061,SITE_08,2025-12-06,1,1.0,0,0,0
D000324,PO000324,S0110,SITE_08,2025-11-22,0,0.863,0,0,0
D000325,PO000325,S0026,SITE_04,2026-03-11,1,0.97,0,0,0
D000326,PO000326,S0034,SITE_04,2025-12-26,0,1.0,0,0,0
D000327,PO000327,S0065,SITE_03,2026-02-25,1,0.97,0,0,0
D000328,PO000328,S0030,SITE_09,2026-01-01,0,0.879,0,0,0
D000329,PO000329,S0044,SITE_11,2026-02-14,1,0.845,0,0,0
D000330,PO000330,S0106,SITE_01,2025-11-02,1,0.913,0,0,0
D000331,PO000331,S0023,SITE_05,2026-01-11,0,0.897,0,0,0
D000332,PO000332,S0006,SITE_06,2025-10-22,1,0.967,0,0,0
D000333,PO000333,S0107,SITE_08,2025-12-25,1,0.919,1,0,0
D000334,PO000334,S0092,SITE_11,2026-03-30,0,0.985,0,0,0
D000335,PO000335,S0103,SITE_02,2026-01-08,1,0.85,0,0,0
D000336,PO000336,S0096,SITE_03,2026-04-04,1,0.955,0,0,1
D000337,PO000337,S0070,SITE_12,2026-03-20,0,0.956,0,0,0
D000338,PO000338,S0014,SITE_09,2025-12-06,0,0.884,0,0,0
D000339,PO000339,S0019,SITE_10,2026-02-12,0,0.968,0,1,0
D000340,PO000340,S0119,SITE_06,2025-12-23,0,0.912,0,0,0
D000341,PO000341,S0076,SITE_08,2026-04-04,1,0.94,0,0,1
D000342,PO000342,S0082,SITE_08,2025-11-04,1,0.907,0,0,0
D000343,PO000343,S0116,SITE_09,2026-04-05,1,0.947,0,0,0
D000344,PO000344,S0016,SITE_01,2025-10-30,1,0.917,0,0,0
D000345,PO000345,S0033,SITE_03,2025-11-07,1,0.932,0,0,0
D000346,PO000346,S0080,SITE_11,2025-11-14,0,0.972,1,0,0
D000347,PO000347,S0018,SITE_09,2026-03-13,1,0.987,0,0,0
D000348,PO000348,S0035,SITE_04,2025-11-13,1,0.902,0,0,0
D000349,PO000349,S0035,SITE_04,2025-11-08,1,0.909,0,0,0
D000350,PO000350,S0062,SITE_08,2025-11-15,1,0.948,0,1,1
D000351,PO000351,S0085,SITE_07,2025-12-23,0,0.968,0,0,0
D000352,PO000352,S0081,SITE_09,2026-01-02,0,0.958,0,0,0
D000353,PO000353,S0039,SITE_04,2026-01-29,1,1.0,0,0,0
D000354,PO000354,S0075,SITE_07,2026-04-22,0,0.978,0,1,0
D000355,PO000355,S0001,SITE_07,2026-04-14,1,0.956,0,0,0
D000356,PO000356,S0051,SITE_04,2026-01-27,1,0.928,1,0,0
D000357,PO000357,S0111,SITE_11,2025-11-09,1,0.965,0,0,0
D000358,PO000358,S0018,SITE_02,2026-03-16,0,0.994,0,1,0
D000359,PO000359,S0035,SITE_05,2026-02-01,1,0.976,0,0,0
D000360,PO000360,S0104,SITE_11,2025-11-24,1,1.0,0,0,0
D000361,PO000361,S0065,SITE_08,2026-01-16,0,0.924,0,0,0
D000362,PO000362,S0035,SITE_08,2026-01-01,1,0.933,0,0,0
D000363,PO000363,S0039,SITE_03,2026-03-01,1,0.984,0,0,0
D000364,PO000364,S0014,SITE_01,2025-11-10,0,0.874,0,0,0
